
   TransferSize(Bytes)	Bandwidth(GB/s)
   1000				1.5
   2000				2.9
   3000				4.4
   4000				6.0
   5000				7.3
   6000				8.6
   7000				9.7
   8000				11.7
   9000				12.7
   10000			13.8
   11000			14.8
   12000			16.4
   13000			18.0
   14000			19.6
   15000			20.0
   16000			20.9
   17000			22.5
   18000			24.5
   19000			24.4
   20000			25.1
   22000			26.9
   24000			29.4
   26000			31.5
   28000			33.2
   30000			34.4
   32000			35.5
   34000			37.6
   36000			39.2
   38000			38.6
   40000			42.2
   42000			42.4
   44000			44.2
   46000			45.8
   48000			45.8
   50000			46.8
   60000			49.3
   70000			54.5
   80000			59.3
   90000			61.3
   100000			62.9
   200000			75.4
   300000			81.8
   400000			85.3
   500000			89.1
   600000			89.8
   700000			93.8
   800000			94.8
   900000			94.5
   1000000			96.9
   2000000			102.4
   3000000			100.6
   4000000			103.9
   5000000			104.4
   6000000			104.9
   7000000			104.3
   8000000			106.2
   9000000			106.3
   10000000			106.2
   11000000			106.3
   12000000			107.1
   13000000			106.8
   14000000			107.6
   15000000			106.6
   16000000			107.0
   18000000			107.1
   20000000			107.7
   22000000			107.9
   24000000			108.6
   26000000			108.1
   28000000			108.3
   30000000			108.4
   32000000			108.4
   36000000			108.4
   40000000			108.5
   44000000			108.6
   48000000			108.8
   52000000			108.7
   56000000			108.9
   60000000			108.8
   64000000			108.1
   68000000			108.7

