
   TransferSize(Bytes)	Bandwidth(GB/s)
   1000				1.6
   2000				3.1
   3000				4.9
   4000				6.6
   5000				7.8
   6000				9.6
   7000				11.4
   8000				13.2
   9000				14.7
   10000			16.2
   11000			17.5
   12000			20.0
   13000			20.2
   14000			22.0
   15000			23.4
   16000			25.3
   17000			25.3
   18000			27.9
   19000			28.1
   20000			30.2
   22000			31.0
   24000			31.0
   26000			35.2
   28000			35.8
   30000			41.2
   32000			42.5
   34000			43.8
   36000			46.5
   38000			48.6
   40000			50.2
   42000			53.7
   44000			54.0
   46000			56.0
   48000			57.0
   50000			58.4
   60000			61.3
   70000			68.6
   80000			70.1
   90000			76.3
   100000			75.6
   200000			85.9
   300000			88.2
   400000			92.1
   500000			92.8
   600000			94.6
   700000			94.8
   800000			95.2
   900000			95.7
   1000000			95.7
   2000000			96.7
   3000000			97.6
   4000000			97.9
   5000000			98.6
   6000000			99.1
   7000000			98.2
   8000000			98.2
   9000000			98.4
   10000000			98.6
   11000000			98.8
   12000000			98.6
   13000000			98.7
   14000000			98.7
   15000000			98.4
   16000000			98.1
   18000000			98.4
   20000000			99.8
   22000000			99.0
   24000000			99.5
   26000000			99.0
   28000000			99.5
   30000000			99.1
   32000000			99.5
   36000000			99.0
   40000000			99.4
   44000000			99.1
   48000000			99.2
   52000000			99.2
   56000000			99.3
   60000000			99.3
   64000000			99.2
   68000000			99.3

